CreditScore,Balance,EstimatedSalary
619,0,101348.88
608,83807.86,112542.58
502,159660.8,113931.57
699,0,93826.63
850,125510.82,79084.1
645,113755.78,149756.71
822,0,10062.8
376,115046.74,119346.88
501,142051.07,74940.5
684,134603.88,71725.73
528,102016.72,80181.12
497,0,76390.01
476,0,26260.98
549,0,190857.79
635,0,65951.65
616,143129.41,64327.26
653,132602.88,5097.67
549,0,14406.41
587,0,158684.81
726,0,54724.03
732,0,170886.17
636,0,138555.46
510,0,118913.53
669,0,8487.75
846,0,187616.16
577,0,124508.29
756,136815.64,170041.95
571,0,38433.35
574,141349.43,100187.43
411,59697.17,53483.21
591,0,140469.38
533,85311.7,156731.91
553,110112.54,81898.81
520,0,34410.55
722,0,142033.07
475,134264.04,27822.99
490,145260.23,114066.77
804,76548.6,98453.45
850,0,40812.9
582,70349.48,178074.04
472,0,70154.22
465,122522.32,181297.65
556,117419.35,94153.83
834,131394.56,194365.76
660,155931.11,158338.39
776,109421.13,126517.46
829,112045.67,119708.21
637,137843.8,117622.8
550,103391.38,90878.13
776,103769.22,194099.12
698,116363.37,198059.16
585,146050.97,86424.57
788,0,116978.19
655,125561.97,164040.94
601,98495.72,40014.76
619,125211.92,113410.49
656,127864.4,87107.57
725,75888.2,45613.75
511,0,1643.11
614,40685.92,46775.28
742,136857,84509.57
687,152328.88,126494.82
555,56084.69,178798.13
684,78707.16,99398.36
603,109166.37,92840.67
751,169831.46,27758.36
581,101633.04,110431.51
735,123180.01,196673.28
661,150725.53,113656.85
675,98373.26,18203
738,133745.44,28373.86
813,0,33953.87
657,163607.18,44203.55
604,157780.84,58426.81
519,0,145562.4
735,178718.19,22388
664,0,139161.64
678,0,148210.64
757,77253.22,194239.63
416,122189.66,98301.61
665,96645.54,171413.66
777,0,136458.19
543,0,26019.59
506,90307.62,159235.29
493,0,1907.66
652,0,114675.75
750,121681.82,128643.35
729,0,151869.35
646,0,93251.42
635,81623.67,156791.36
647,0,174205.22
808,118626.55,147132.46
524,0,109614.57
769,0,172290.61
730,0,85982.47
515,176273.95,121277.78
773,102827.44,64595.25
814,97086.4,197276.13
710,0,99645.04
413,0,6534.18
665,0,161848.03
623,0,167162.43
738,82674.15,41970.72
528,0,60536.56
670,0,177655.68
622,107073.27,30984.59
582,88938.62,10054.53
785,99806.85,36976.52
605,150092.8,71862.79
479,92833.89,99449.86
685,90536.81,63082.88
538,108055.1,27231.26
562,100238.35,86797.41
675,106190.55,22994.32
721,154475.54,101300.94
628,132351.29,74169.13
668,167864.4,115638.29
506,0,31766.3
524,107818.63,199725.39
699,185173.81,120834.48
828,129433.34,38131.77
674,120193.42,100130.95
656,0,141069.88
684,126384.42,198129.36
625,0,183646.41
432,152603.45,110265.24
549,0,8636.05
625,148507.24,46824.08
828,0,171378.77
770,101827.07,167256.35
758,0,124226.16
795,130862.43,114935.21
687,122570.87,35608.88
686,0,16459.37
789,124828.46,124411.08
589,144895.05,34941.23
461,63663.93,167784.28
637,133463.1,93165.34
584,213146.2,75161.25
579,129490.36,8590.83
756,137452.09,189543.9
663,0,180427.24
682,125851.93,193318.33
793,0,159123.82
691,40915.55,126213.84
485,113157.22,54141.5
635,138296.94,141075.51
650,106967.18,24495.03
735,120681.63,74836.34
416,0,878.87
754,0,89520.75
535,0,149892.79
716,0,180800.42
539,127609.59,98646.22
614,0,109041.53
706,0,17941.16
758,0,82996.47
586,0,92067.35
646,97259.25,104719.66
631,123246.7,112687.57
717,101060.25,84699.56
684,0,83473.82
800,108007.36,47125.11
721,0,106977.8
683,133702.89,55582.54
660,125189.75,139874.43
704,113034.22,162503.48
615,109013.23,196499.96
667,0,40721.24
682,57929.81,53134.3
484,130114.39,164017.89
628,95826.49,155996.96
480,129608.57,5472.7
578,169462.09,112187.11
512,0,146457.83
484,133868.21,27286.1
510,0,130553.47
606,190479.48,179351.89
597,101993.12,94774.12
754,161608.81,8080.85
850,122311.21,19482.5
510,0,48071.61
778,162150.42,174531.27
636,0,55470.78
804,0,8546.87
514,0,95857.18
730,99010.67,194945.8
525,0,131521.72
616,0,196108.51
687,111388.18,148564.76
715,56214.85,92982.61
512,84327.77,17675.36
479,0,114996.43
601,93012.89,86957.42
580,61710.44,128077.8
807,174790.15,600.36
616,0,43001.46
721,107720.64,158591.12
501,0,47847.19
521,96423.84,10488.44
850,141040.01,5978.2
759,105420.18,121409.06
516,0,146145.93
711,129022.06,14374.86
512,176666.62,94670.77
550,0,179670.31
608,89763.84,199304.74
618,134954.53,151954.39
643,0,142513.5
671,106376.85,158264.62
689,161814.64,169381.9
603,0,169915.02
620,0,88852.47
676,63095.01,40645.81
572,118287.01,60427.3
668,106854.21,157959.02
695,49512.55,133007.34
730,0,176576.62
807,105799.32,34888.04
592,0,28737.71
726,114722.05,98178.57
514,0,125010.24
567,0,167984.61
850,0,4861.72
671,99564.22,108872.45
670,170557.91,198252.88
694,0,26960.31
547,74596.15,85746.52
751,96888.39,77206.25
594,130830.22,61048.53
673,0,111981.19
610,0,62232.6
512,0,156105.03
767,119714.25,150135.38
585,113978.97,93146.11
763,100160.75,33462.94
712,0,144375
539,116220.5,55803.96
668,0,89048.46
703,81173.83,162812.16
662,0,136259.65
725,116803.8,124052.97
703,105961.68,74158.8
659,117411.6,45071.09
